Hostname,Last Seen,First Seen,Platform,OS Version,OS Build,OS Product Name,Kernel Version,Model,Manufacturer,Type,Chassis,OU,Site,Prevention Policy,Response Policy,Sensor Update Policy,USB Device Policy,Host ID,Local IP,Connection IP,Default Gateway IP,External IP,Domain,MAC Address,Connection MAC Address,Status,CPUID,Serial Number,Sensor Version,Sensor Tags,Cloud Service Provider,Cloud Service Account ID,Cloud Service Instance ID,Cloud Service Zone/Group,RFM,Deployment Type,Email,Pod ID,Pod Name,Pod Namespace,Pod Labels,Pod Annotations,Pod IP4,Pod IP6,Pod Hostname,Pod Host IP4,Pod Host IP6,Pod Service Account Name,Host Groups
5420-274FSQ3,2023-05-02T17:38:25Z,2022-08-13T00:03:33Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,RD,"TCB - Workstation Prevent Dynamic 
01 May 23 15:03 UTC","Full Response - Base
13 Aug 22 00:12 UTC","Windows Workstations N-1
29 Mar 23 16:36 UTC","Monitor - TCB - Base
13 Apr 23 21:25 UTC",ccbbb892d04e4846ae7595ecf58ec277,10.128.200.26,10.128.200.26,10.128.252.1,104.178.199.222,tcbna.net,cc-96-e5-9b-68-4d,cc-96-e5-9b-68-4d,normal,526017,274FSQ3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
2042-A205,2023-05-02T17:28:01Z,2021-11-15T02:20:24Z,Windows,Windows Server 2012 R2,9600,Windows Server 2012 R2 Standard,6.3.9600.20778,VMware Virtual Platform,"VMware, Inc.",Server,Other,AIS Servers,Default-First-Site-Name,"AIS Servers - Windows
17 Aug 22 21:00 UTC","Full Response - Base
03 Mar 22 16:25 UTC","Windows Servers
24 Apr 23 19:23 UTC","platform_default
13 Apr 23 06:26 UTC",32ad8ecbb8684f72abbc386ef401a24d,192.168.1.56,192.168.1.56,192.168.1.1,12.147.40.139,automatedinstallment.com,00-50-56-82-0f-ae,00-50-56-82-0f-ae,normal,198384,VMware-42 02 ff 75 57 3e b2 eb-99 41 48 2e ff cc ff 76,6.52.16606.0,SensorGroupingTags/AIS/Windows/Server,,,,,no,,,,,,,,,,,,,,"Servers - Windows - AIS,Windows Servers - Detect - Dynamic"
5420-DDTQ3M3,2023-05-02T17:14:55Z,2022-03-25T22:33:04Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.1706,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,RL,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:16 UTC","Full Response - Base
25 Mar 22 22:40 UTC","Windows Workstations N-1
29 Mar 23 13:06 UTC","Monitor - TCB - Base
25 Mar 22 22:40 UTC",562902552e634b42b0be91d82a066665,10.161.129.174,10.161.129.174,192.168.1.1,68.203.189.234,tcbna.net,00-05-9a-3c-7a-00,00-05-9a-3c-7a-00,normal,526017,DDTQ3M3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-9D58BK3,2023-05-02T17:15:36Z,2022-05-24T17:24:05Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,SB,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:16 UTC","Full Response - Base
24 May 22 17:29 UTC","Windows Workstations N-1
29 Mar 23 13:31 UTC","Monitor - TCB - Base
13 Apr 23 21:28 UTC",45e312a6bfc046998d721b6cfe9e4496,10.10.90.61,10.10.90.61,10.132.244.1,63.98.103.74,tcbna.net,a0-29-19-c4-04-31,a0-29-19-c4-04-31,normal,526017,9D58BK3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-F40P5D3,2023-05-02T17:22:48Z,2023-03-06T21:51:11Z,Windows,Windows 10,19045,Windows 10 Enterprise,10.0.19045.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,RL,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:16 UTC","Full Response - Base
06 Mar 23 22:00 UTC","Windows Workstations N-1
29 Mar 23 13:25 UTC","Monitor - TCB - Base
06 Mar 23 22:00 UTC",36dcbdfa5124432d8df52f313be858b6,10.132.160.22,10.132.160.22,10.132.160.1,63.98.103.65,tcbna.net,38-14-28-d4-0a-5d,38-14-28-d4-0a-5d,normal,526017,F40P5D3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-1C18BK3,2023-05-02T17:37:12Z,2022-07-30T18:51:05Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,DM,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:35 UTC","Full Response - Base
30 Jul 22 18:58 UTC","Windows Workstations N-1
29 Mar 23 14:05 UTC","Monitor - TCB - Base
30 Jul 22 18:58 UTC",12141c3fbe064d3f8b40a4447718c8c2,10.128.82.26,10.128.82.26,10.128.248.1,63.98.103.66,tcbna.net,a0-29-19-c3-be-5f,a0-29-19-c3-be-5f,normal,526017,1C18BK3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-5WQVBK3,2023-05-02T17:16:50Z,2022-04-15T14:21:12Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,DM,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:30 UTC","Full Response - Base
15 Apr 22 14:28 UTC","Windows Workstations N-1
29 Mar 23 14:19 UTC","Monitor - TCB - Base
14 Apr 23 02:57 UTC",c82e969138574f22a959db8f177b6dc5,10.128.210.19,10.128.210.19,10.128.210.1,63.98.103.66,tcbna.net,a0-29-19-c4-fe-61,a0-29-19-c4-fe-61,normal,526017,5WQVBK3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-5M87BK3,2023-05-02T17:22:04Z,2022-09-01T16:06:14Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,DM,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:21 UTC","Full Response - Base
01 Sep 22 17:03 UTC","Windows Workstations N-1
29 Mar 23 13:48 UTC","Monitor - TCB - Base
13 Apr 23 21:26 UTC",35d8f47f4bb74773b4a3de4cb1b1bb47,10.177.130.10,10.177.130.10,192.168.7.1,63.98.103.65,tcbna.net,00-05-9a-3c-7a-00,00-05-9a-3c-7a-00,normal,526017,5M87BK3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-9V0D9K3,2023-05-02T17:39:03Z,2022-02-22T21:22:42Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,DM,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:23 UTC","Full Response - Base
22 Feb 22 21:29 UTC","Windows Workstations N-1
29 Mar 23 13:30 UTC","Monitor - TCB - Base
27 Apr 23 07:10 UTC",fd12aad7d6d44b559566519962d658a0,10.128.72.27,10.128.72.27,10.128.72.1,63.98.103.66,tcbna.net,a0-29-19-48-a5-69,a0-29-19-48-a5-69,normal,526017,9V0D9K3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-CTF8BK3,2023-05-02T17:32:03Z,2022-10-01T03:21:23Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,SM,"TCB - Workstation Prevent Dynamic 
01 May 23 12:25 UTC","Full Response - Base
01 Oct 22 03:29 UTC","Windows Workstations N-1
29 Mar 23 14:02 UTC","Monitor - TCB - Base
29 Mar 23 15:39 UTC",eb44572f2c0d4f34bf3d30c78be8e258,10.10.42.149,10.10.42.149,10.10.42.1,63.98.103.73,tcbna.net,a0-29-19-c2-f8-2c,a0-29-19-c2-f8-2c,normal,526017,CTF8BK3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
